                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6579,                 1.0956,                 1.0577,                0.87704,                0.87254,                0.90021,                 0.4778,                 1.5215,                 1.1068,                 0.9815,              0.0012734,              0.0012734,              0.0012734
                     36,                 1.6318,                 1.0906,                 1.0316,                0.84324,                0.86029,                0.90109,                0.45957,                 1.5709,                  1.104,                0.98806,              0.0012687,              0.0012687,              0.0012687
                     37,                 1.5254,                 1.0712,                 1.0095,                 0.9271,                 0.8448,                0.91481,                0.47038,                 1.5359,                  1.048,                0.98952,               0.001264,               0.001264,               0.001264
                     38,                 1.6665,                 1.0942,                0.99249,                 0.8689,                0.85346,                0.88372,                0.41364,                 1.5803,                 1.1239,                 0.9902,              0.0012592,              0.0012592,              0.0012592
                     39,                 1.6103,                 1.0506,                 1.0133,                0.91889,                 0.9315,                0.93853,                0.49139,                 1.4625,                 1.0037,                  0.961,              0.0012545,              0.0012545,              0.0012545
                     40,                 1.5797,                 1.0404,                 1.0015,                0.91657,                0.85901,                0.90769,                0.49901,                 1.4807,                0.95528,                0.96381,              0.0012498,              0.0012498,              0.0012498
                     41,                 1.6645,                 1.0901,                 1.0312,                0.89723,                0.85647,                0.88419,                0.48855,                 1.4986,                0.98028,                0.97346,              0.0012451,              0.0012451,              0.0012451
                     42,                 1.6418,                  1.097,                 0.9951,                0.85964,                0.81332,                0.89403,                0.47243,                 1.4626,                 1.0508,                0.96423,              0.0012404,              0.0012404,              0.0012404
                     43,                 1.6537,                 1.0904,                 1.0339,                0.86829,                0.78617,                 0.8386,                0.45344,                 1.5661,                 1.0346,                0.99045,              0.0012357,              0.0012357,              0.0012357
                     44,                  1.593,                 1.0524,                0.98643,                0.71224,                0.70849,                0.77906,                0.40817,                 1.5036,                 1.2918,                0.96294,              0.0012309,              0.0012309,              0.0012309
                     45,                 1.5696,                 1.0712,                0.98972,                 0.8776,                0.84559,                0.89513,                0.49713,                  1.461,                0.96014,                0.96219,              0.0012262,              0.0012262,              0.0012262
                     46,                 1.6037,                0.99005,                0.99434,                0.89168,                0.76503,                0.84592,                 0.4204,                 1.6041,                 1.0356,                0.97806,              0.0012215,              0.0012215,              0.0012215
                     47,                 1.5778,                 1.0489,                 1.0414,                0.87408,                0.79419,                0.87234,                0.46323,                 1.4654,                0.96158,                0.96261,              0.0012168,              0.0012168,              0.0012168
                     48,                 1.5339,                0.98811,                0.99038,                0.87658,                0.83669,                0.85656,                0.40663,                 1.5875,                0.99659,                0.98148,              0.0012121,              0.0012121,              0.0012121
                     49,                 1.6767,                 1.0763,                0.99254,                0.89507,                0.85928,                0.89694,                0.47792,                 1.4538,                0.93433,                0.95109,              0.0012074,              0.0012074,              0.0012074
                     50,                 1.6051,                  1.006,                 0.9784,                0.91867,                 0.8524,                0.91103,                 0.4856,                 1.4004,                0.94011,                0.94288,              0.0012026,              0.0012026,              0.0012026
                     51,                 1.5089,                0.94993,                0.93801,                0.93324,                0.88273,                0.91861,                0.46183,                 1.5351,                0.96003,                0.96931,              0.0011979,              0.0011979,              0.0011979
                     52,                 1.5385,                0.97255,                 0.9632,                0.94049,                0.87766,                0.91801,                0.48737,                 1.4835,                0.90751,                0.96174,              0.0011932,              0.0011932,              0.0011932
                     53,                 1.5786,                0.92139,                 1.0074,                0.87468,                0.85749,                0.91175,                0.50736,                 1.4582,                0.92201,                0.96115,              0.0011885,              0.0011885,              0.0011885
                     54,                  1.577,                0.95231,                 1.0125,                0.89805,                 0.8643,                0.91294,                0.49572,                 1.5416,                0.91519,                 0.9793,              0.0011838,              0.0011838,              0.0011838
                     55,                 1.5886,                0.97698,                0.99504,                0.93619,                0.86826,                0.92684,                0.52715,                 1.4155,                 0.8603,                 0.9473,              0.0011791,              0.0011791,              0.0011791
                     56,                 1.5713,                 1.0176,                 0.9993,                 0.9127,                0.87001,                 0.9137,                0.50679,                 1.4188,                 0.8863,                0.94968,              0.0011744,              0.0011744,              0.0011744
