                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0258,                 1.9149,                 1.5943,                 0.9823,                0.65278,                  0.638,                0.27964,                 1.9312,                 2.2927,                 1.6335,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 1.9534,                 1.8886,                 1.4563,                0.98222,                0.65278,                  0.638,                0.29201,                 1.8169,                 2.2095,                  1.557,             4.2339e-05,             4.2339e-05,             4.2339e-05
                      3,                 1.7758,                 2.0006,                 1.4244,                0.99609,                0.66667,                0.66333,                0.31411,                 1.6748,                 2.1196,                  1.464,             6.9682e-05,             6.9682e-05,             6.9682e-05
                      4,                 1.7332,                 1.9665,                  1.422,                0.99676,                0.66667,                0.66333,                0.33329,                 1.5395,                 2.0156,                 1.3685,             9.6316e-05,             9.6316e-05,             9.6316e-05
                      5,                 1.7243,                 1.8221,                  1.274,                0.99284,                0.66667,                0.72714,                0.39317,                 1.4629,                  1.893,                 1.3072,             0.00012224,             0.00012224,             0.00012224
                      6,                 1.5512,                 1.7685,                 1.2667,                0.99168,                0.66667,                0.80491,                0.44857,                 1.3979,                 1.7567,                 1.2695,             0.00014746,             0.00014746,             0.00014746
                      7,                 1.5994,                 1.7739,                 1.2575,                0.99707,                0.66522,                0.85057,                0.48489,                 1.3903,                 1.6476,                 1.2651,             0.00017198,             0.00017198,             0.00017198
                      8,                  1.518,                 1.5042,                  1.209,                0.77541,                   0.96,                0.98137,                0.55253,                 1.4044,                 1.4603,                   1.28,             0.00019578,             0.00019578,             0.00019578
                      9,                 1.5771,                 1.5991,                 1.2876,                0.81993,                0.98452,                0.98186,                0.56156,                 1.3982,                   1.38,                 1.2798,             0.00021888,             0.00021888,             0.00021888
                     10,                 1.5308,                 1.4365,                 1.2263,                0.96384,                0.97601,                0.98241,                0.58116,                  1.377,                 1.3519,                 1.2687,             0.00024127,             0.00024127,             0.00024127
                     11,                  1.538,                 1.3756,                 1.2406,                0.95426,                  0.961,                0.98227,                 0.5902,                 1.3842,                 1.4115,                 1.2708,             0.00026295,             0.00026295,             0.00026295
                     12,                 1.4715,                 1.3655,                 1.2181,                0.94117,                0.86825,                  0.995,                0.59709,                 1.3928,                 1.4774,                 1.2782,             0.00028393,             0.00028393,             0.00028393
                     13,                 1.5955,                 1.2661,                 1.2381,                0.94942,                0.87405,                  0.995,                0.58534,                 1.4177,                 1.4552,                 1.2952,              0.0003042,              0.0003042,              0.0003042
                     14,                 1.5464,                 1.2351,                  1.202,                0.98475,                      1,                  0.995,                0.57883,                 1.4249,                 1.3374,                 1.3019,             0.00032376,             0.00032376,             0.00032376
                     15,                 1.4144,                  1.088,                  1.144,                0.99476,                      1,                  0.995,                 0.5765,                  1.401,                 1.2582,                 1.2886,             0.00034261,             0.00034261,             0.00034261
                     16,                 1.5543,                 1.4775,                 1.3675,                0.99658,                      1,                  0.995,                0.58158,                 1.3745,                 1.2364,                 1.2722,             0.00036076,             0.00036076,             0.00036076
                     17,                 1.5485,                 1.1296,                  1.147,                0.99527,                      1,                  0.995,                 0.5895,                 1.3892,                 1.1775,                 1.2733,              0.0003782,              0.0003782,              0.0003782
                     18,                 1.4583,                 1.2427,                 1.3271,                0.99237,                      1,                  0.995,                0.58733,                 1.3933,                 1.1064,                 1.2748,             0.00039493,             0.00039493,             0.00039493
                     19,                 1.5468,                 1.1981,                 1.2602,                 0.9912,                      1,                  0.995,                0.58642,                 1.3856,                 1.0552,                  1.273,             0.00041096,             0.00041096,             0.00041096
                     20,                 1.4716,                 1.2026,                 1.2505,                0.99111,                      1,                  0.995,                0.59663,                 1.3994,                 1.0295,                 1.2778,             0.00042627,             0.00042627,             0.00042627
                     21,                 1.5305,                 1.1334,                 1.2978,                0.99571,                      1,                  0.995,                 0.5925,                 1.3923,                0.99991,                 1.2824,             0.00044088,             0.00044088,             0.00044088
                     22,                 1.5349,                 1.0743,                 1.2049,                 0.9948,                      1,                  0.995,                 0.5974,                 1.4004,                0.99194,                 1.2936,             0.00045478,             0.00045478,             0.00045478
                     23,                 1.6304,                 1.1191,                  1.231,                0.98257,                0.98667,                0.98908,                0.57407,                 1.4946,                 1.0523,                 1.3482,             0.00046798,             0.00046798,             0.00046798
                     24,                  1.582,                  1.346,                 1.4303,                0.98036,                0.98667,                0.98808,                0.54599,                 1.5602,                 1.0577,                 1.3894,             0.00048047,             0.00048047,             0.00048047
                     25,                 1.6656,                 1.1793,                 1.4379,                 0.9748,                0.98667,                0.98854,                0.54964,                 1.5185,                 1.0565,                  1.365,             0.00049225,             0.00049225,             0.00049225
                     26,                 1.5678,                 1.1373,                 1.2698,                0.98391,                      1,                  0.995,                0.58227,                 1.4496,                 1.0607,                 1.3267,             0.00050332,             0.00050332,             0.00050332
                     27,                 1.5264,                0.97797,                 1.2088,                0.97731,                      1,                  0.995,                0.56675,                 1.4422,                 1.0943,                 1.3119,             0.00051369,             0.00051369,             0.00051369
                     28,                 1.4195,                 1.0336,                 1.1969,                0.97731,                      1,                  0.995,                0.56675,                 1.4422,                 1.0943,                 1.3119,             0.00052334,             0.00052334,             0.00052334
                     29,                 1.4289,                 1.0307,                 1.1734,                0.96485,                0.98667,                0.97428,                0.53121,                 1.4908,                 1.1003,                 1.3257,              0.0005323,              0.0005323,              0.0005323
