                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                 1.5159,                 1.0345,                  1.188,                0.97073,                0.98667,                0.97588,                 0.5494,                 1.4364,                 1.0311,                 1.2967,             0.00054054,             0.00054054,             0.00054054
                     31,                  1.492,                 1.0364,                   1.22,                0.97073,                0.98667,                0.97588,                 0.5494,                 1.4364,                 1.0311,                 1.2967,             0.00054808,             0.00054808,             0.00054808
                     32,                 1.4268,                0.96368,                 1.1823,                0.99027,                      1,                  0.995,                0.59682,                  1.379,                 1.0217,                  1.273,              0.0005549,              0.0005549,              0.0005549
                     33,                 1.4626,                 1.0521,                 1.1506,                0.97476,                0.98667,                 0.9925,                0.58402,                  1.402,                 1.0463,                 1.2848,             0.00056103,             0.00056103,             0.00056103
                     34,                 1.4524,                0.93496,                 1.1553,                0.97476,                0.98667,                 0.9925,                0.58402,                  1.402,                 1.0463,                 1.2848,             0.00056644,             0.00056644,             0.00056644
                     35,                 1.5073,                 1.1291,                  1.278,                0.96283,                0.98667,                0.98729,                0.58164,                 1.4076,                  1.132,                 1.2852,             0.00057115,             0.00057115,             0.00057115
                     36,                 1.4624,                 1.0132,                 1.1876,                0.95435,                 0.9853,                0.99017,                0.59726,                 1.3782,                 1.2165,                 1.2693,             0.00057515,             0.00057515,             0.00057515
                     37,                 1.4089,                 1.0452,                  1.196,                0.95435,                 0.9853,                0.99017,                0.59726,                 1.3782,                 1.2165,                 1.2693,             0.00057844,             0.00057844,             0.00057844
                     38,                 1.4138,                 1.0731,                 1.1474,                0.95054,                      1,                  0.995,                0.58801,                 1.3528,                 1.1759,                 1.2578,             0.00058102,             0.00058102,             0.00058102
                     39,                 1.4362,                0.96618,                 1.1768,                0.97778,                      1,                  0.995,                0.59542,                 1.3518,                 1.0498,                 1.2578,              0.0005829,              0.0005829,              0.0005829
                     40,                 1.4083,                 1.0487,                 1.2398,                0.97778,                      1,                  0.995,                0.59542,                 1.3518,                 1.0498,                 1.2578,             0.00058407,             0.00058407,             0.00058407
                     41,                 1.4566,                 1.1281,                 1.2467,                0.98772,                      1,                  0.995,                0.59093,                 1.3496,                 1.0096,                 1.2627,             0.00058453,             0.00058453,             0.00058453
                     42,                 1.4805,                 1.0034,                 1.1462,                0.99245,                      1,                  0.995,                0.58935,                 1.3661,                0.96195,                 1.2806,             0.00058429,             0.00058429,             0.00058429
                     43,                  1.485,                 1.0397,                   1.19,                0.99245,                      1,                  0.995,                0.58935,                 1.3661,                0.96195,                 1.2806,             0.00058334,             0.00058334,             0.00058334
                     44,                 1.3354,                0.92601,                 1.0922,                 0.9948,                      1,                  0.995,                0.57859,                  1.406,                 0.9648,                 1.2996,             0.00058168,             0.00058168,             0.00058168
                     45,                 1.4412,                  1.028,                 1.2368,                 0.9948,                      1,                  0.995,                0.57859,                  1.406,                 0.9648,                 1.2996,             0.00057931,             0.00057931,             0.00057931
                     46,                 1.4163,                 1.0112,                 1.2414,                 0.9924,                      1,                  0.995,                0.58163,                 1.4235,                0.98685,                 1.3029,             0.00057624,             0.00057624,             0.00057624
                     47,                  1.507,                0.96036,                 1.1822,                 0.9924,                      1,                  0.995,                0.58163,                 1.4235,                0.98685,                 1.3029,             0.00057245,             0.00057245,             0.00057245
                     48,                 1.4544,                0.91052,                  1.196,                0.99468,                      1,                  0.995,                0.59146,                 1.4264,                 0.9704,                 1.2959,             0.00056796,             0.00056796,             0.00056796
                     49,                 1.4179,                0.93245,                 1.1714,                0.99468,                      1,                  0.995,                0.59146,                 1.4264,                 0.9704,                 1.2959,             0.00056277,             0.00056277,             0.00056277
                     50,                 1.4866,                  0.932,                 1.1862,                 0.9944,                      1,                  0.995,                0.59988,                 1.4125,                0.97153,                 1.2787,             0.00055687,             0.00055687,             0.00055687
                     51,                 1.4347,                0.87733,                 1.1948,                 0.9944,                      1,                  0.995,                0.59988,                 1.4125,                0.97153,                 1.2787,             0.00054481,             0.00054481,             0.00054481
                     52,                 1.4168,                0.91821,                 1.2221,                0.98064,                0.98667,                0.98933,                0.60594,                 1.3921,                0.98933,                 1.2617,             0.00054481,             0.00054481,             0.00054481
                     53,                 1.4555,                0.96438,                  1.222,                0.98064,                0.98667,                0.98933,                0.60594,                 1.3921,                0.98933,                 1.2617,             0.00052712,             0.00052712,             0.00052712
                     54,                 1.4922,                0.90152,                 1.2218,                0.97985,                0.98667,                0.98884,                 0.6037,                 1.3839,                 1.0018,                 1.2606,             0.00050944,             0.00050944,             0.00050944
                     55,                 1.4911,                0.97285,                  1.194,                0.97985,                0.98667,                0.98884,                 0.6037,                 1.3839,                 1.0018,                 1.2606,             0.00049175,             0.00049175,             0.00049175
                     56,                 1.3885,                0.90167,                  1.202,                0.97732,                0.98667,                0.98777,                0.59282,                 1.4107,                 1.0079,                 1.2791,             0.00047407,             0.00047407,             0.00047407
                     57,                 1.4051,                0.87028,                 1.1302,                0.97732,                0.98667,                0.98777,                0.59282,                 1.4107,                 1.0079,                 1.2791,             0.00045639,             0.00045639,             0.00045639
                     58,                 1.4611,                0.97312,                  1.335,                0.97826,                0.98667,                0.98719,                0.58213,                 1.4202,                0.99579,                  1.285,              0.0004387,              0.0004387,              0.0004387
                     59,                 1.3956,                 0.9173,                 1.2229,                0.97826,                0.98667,                0.98719,                0.58213,                 1.4202,                0.99579,                  1.285,             0.00042102,             0.00042102,             0.00042102
                     60,                 1.3906,                0.88795,                 1.1093,                0.97939,                0.98667,                0.98762,                0.59161,                 1.4128,                0.95504,                  1.281,             0.00040334,             0.00040334,             0.00040334
                     61,                 1.3895,                0.90962,                 1.1732,                0.97939,                0.98667,                0.98762,                0.59161,                 1.4128,                0.95504,                  1.281,             0.00038565,             0.00038565,             0.00038565
                     62,                 1.4696,                 0.8777,                 1.2062,                0.98137,                0.98667,                0.98532,                0.59737,                 1.3882,                 0.9206,                  1.267,             0.00036797,             0.00036797,             0.00036797
                     63,                 1.4325,                0.81111,                  1.121,                0.98137,                0.98667,                0.98532,                0.59737,                 1.3882,                 0.9206,                  1.267,             0.00035028,             0.00035028,             0.00035028
                     64,                 1.3269,                0.94418,                 1.2029,                0.99529,                      1,                  0.995,                0.59497,                 1.3695,                0.88797,                 1.2608,              0.0003326,              0.0003326,              0.0003326
                     65,                 1.3526,                0.80834,                  1.153,                0.99529,                      1,                  0.995,                0.59497,                 1.3695,                0.88797,                 1.2608,             0.00031492,             0.00031492,             0.00031492
                     66,                  1.461,                0.86242,                 1.2357,                 0.9956,                      1,                  0.995,                0.58389,                 1.3737,                0.87295,                 1.2681,             0.00029723,             0.00029723,             0.00029723
                     67,                 1.3555,                0.85968,                 1.1086,                 0.9956,                      1,                  0.995,                0.58389,                 1.3737,                0.87295,                 1.2681,             0.00027955,             0.00027955,             0.00027955
                     68,                 1.5019,                0.83739,                 1.2082,                0.99442,                      1,                  0.995,                0.57522,                 1.3854,                0.87594,                 1.2776,             0.00026186,             0.00026186,             0.00026186
                     69,                 1.3383,                 0.9371,                 1.1696,                0.99442,                      1,                  0.995,                0.57522,                 1.3854,                0.87594,                 1.2776,             0.00024418,             0.00024418,             0.00024418
                     70,                 1.4782,                0.87638,                  1.209,                0.97991,                0.98667,                0.97291,                0.56762,                 1.3996,                0.88693,                 1.2882,              0.0002265,              0.0002265,              0.0002265
                     71,                 1.3928,                0.99924,                 1.2714,                0.97991,                0.98667,                0.97291,                0.56762,                 1.3996,                0.88693,                 1.2882,             0.00020881,             0.00020881,             0.00020881
                     72,                 1.4276,                 0.9943,                  1.307,                0.97947,                0.98667,                0.98335,                0.58021,                 1.3921,                 0.9025,                  1.284,             0.00019113,             0.00019113,             0.00019113
                     73,                 1.4016,                 1.0075,                 1.2709,                0.97947,                0.98667,                0.98335,                0.58021,                 1.3921,                 0.9025,                  1.284,             0.00017344,             0.00017344,             0.00017344
                     74,                 1.4504,                 1.0492,                 1.3507,                 0.9806,                0.98667,                 0.9829,                0.58429,                  1.381,                0.92096,                 1.2766,             0.00015576,             0.00015576,             0.00015576
                     75,                 1.3961,                 1.0601,                 1.2597,                 0.9806,                0.98667,                 0.9829,                0.58429,                  1.381,                0.92096,                 1.2766,             0.00013808,             0.00013808,             0.00013808
                     76,                 1.4188,                0.97239,                 1.2261,                0.98116,                0.98667,                0.98335,                 0.5864,                 1.3742,                0.93625,                   1.27,             0.00012039,             0.00012039,             0.00012039
                     77,                 1.4635,                0.99985,                 1.2354,                0.98116,                0.98667,                0.98335,                 0.5864,                 1.3742,                0.93625,                   1.27,             0.00010271,             0.00010271,             0.00010271
                     78,                 1.3635,                0.98946,                 1.2367,                0.98084,                0.98667,                0.98441,                0.58747,                 1.3721,                0.93878,                 1.2653,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     79,                 1.4111,                 1.0978,                 1.2541,                0.98084,                0.98667,                0.98441,                0.58747,                 1.3721,                0.93878,                 1.2653,             6.7342e-05,             6.7342e-05,             6.7342e-05
                     80,                 1.3659,                0.98308,                 1.2105,                0.99356,                      1,                  0.995,                0.59231,                 1.3703,                 0.9323,                  1.262,             4.9658e-05,             4.9658e-05,             4.9658e-05
